fecha_vigencia,tc_oficial,fecha_publicacion,fuente
2026-07-12,10.4,2026-07-12 07:55:05,BCB_scraping
2026-07-11,10.4,2026-07-11 07:49:15,BCB_scraping
2026-07-10,10.24,2026-07-10 09:08:47,BCB_scraping
2026-07-09,10.1,2026-07-09 09:45:28,BCB_scraping
2026-07-08,9.96,2026-07-08 08:16:57,BCB_scraping
2026-07-07,9.89,2026-07-07 09:15:38,BCB_scraping
2026-07-06,9.83,2026-07-06 10:21:58,BCB_scraping
2026-07-05,9.83,2026-07-05 08:12:12,BCB_scraping
2026-07-04,9.83,2026-07-04 08:03:38,BCB_scraping
2026-07-03,9.8,2026-07-03 08:53:56,BCB_scraping
2026-07-02,9.78,2026-07-02 16:08:48,BCB_scraping
2026-07-01,9.76,2026-07-01 08:57:26,BCB_scraping
2026-06-30,9.76,2026-06-30 09:23:42,BCB_scraping
2026-06-29,9.73,2026-06-28 21:47:21,BCB_scraping
